id,moovie_id,category_id
1,10126,13
2,10126,16
3,10251,1
4,10251,6
5,10251,10
6,10862,1
7,10862,2
8,10862,11
9,114782,15
10,114782,6
11,12475,6
12,12837,13
13,12837,16
14,135063,6
15,135063,16
16,13892,13
17,13892,16
18,143692,15
19,143692,16
20,1603,16
21,1603,7
22,182745,6
23,1832,14
24,1832,5
25,185719,3
26,185719,6
27,190918,17
28,19395,17
29,1941,6
30,1941,13
31,2021,17
32,206736,1
33,206736,9
34,206775,1
35,206775,9
36,206775,8
37,208104,6
38,208104,3
39,21189,16
40,21189,6
41,2253,4
42,225953,6
43,225953,11
44,229070,3
45,229070,6
46,24944,12
47,24944,2
48,255238,16
49,256661,6
50,256661,3
51,25801,15
52,25801,2
53,25802,15
54,25802,2
55,25803,15
56,25803,2
57,258374,6
58,27070,9
59,27070,2
60,28201,13
61,28201,6
62,39186,9
63,39186,2
64,448,15
65,448,2
66,56714,6
67,5969,16
68,5969,6
69,64439,6
70,64439,4
71,6641,16
72,6641,6